timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717007098535,144,Створити героя ,200,OK,Endurance Test 1-640,text,true,,263,236,627,627,http://localhost:3001/character,144,0,0
1717007098194,489,Змінити героя,200,OK,Endurance Test 1-444,text,true,,262,231,627,627,http://localhost:3001/character/4,489,0,0
1717007098194,489,Створити героя ,200,OK,Endurance Test 1-778,text,true,,263,236,627,627,http://localhost:3001/character,489,0,0
1717007097951,732,Змінити героя,200,OK,Endurance Test 1-541,text,true,,262,231,627,627,http://localhost:3001/character/4,732,0,0
1717007098193,490,Створити героя ,200,OK,Endurance Test 1-598,text,true,,263,236,627,627,http://localhost:3001/character,490,0,0
1717007097953,730,Змінити героя,200,OK,Endurance Test 1-381,text,true,,262,231,627,627,http://localhost:3001/character/4,730,0,0
1717007098193,490,Отриати всіх героїв ,200,OK,Endurance Test 1-522,text,true,,7977,129,627,627,http://localhost:3001/characters,490,0,0
1717007098193,491,Видалити героя,200,OK,Endurance Test 1-773,text,true,,249,216,627,627,http://localhost:3001/character/4,491,0,0
1717007098194,490,Отриати всіх героїв ,200,OK,Endurance Test 1-458,text,true,,8035,129,627,627,http://localhost:3001/characters,490,0,0
1717007097950,734,Отримати героя за id ,200,OK,Endurance Test 1-620,text,true,,266,130,627,627,http://localhost:3001/character/2,734,0,0
1717007098194,486,Видалити героя,200,OK,Endurance Test 1-703,text,true,,249,216,627,627,http://localhost:3001/character/4,486,0,0
1717007097951,733,Отримати героя за id ,200,OK,Endurance Test 1-740,text,true,,266,130,627,627,http://localhost:3001/character/2,733,0,0
1717007098192,492,Отримати героя за id ,200,OK,Endurance Test 1-944,text,true,,266,130,627,627,http://localhost:3001/character/2,492,0,0
1717007098531,149,Отримати героя за id ,200,OK,Endurance Test 1-668,text,true,,266,130,627,627,http://localhost:3001/character/2,149,0,0
1717007098194,491,Створити героя ,200,OK,Endurance Test 1-569,text,true,,263,236,627,627,http://localhost:3001/character,491,0,0
1717007097950,735,Отримати героя за id ,200,OK,Endurance Test 1-562,text,true,,266,130,627,627,http://localhost:3001/character/2,735,0,0
1717007098192,493,Отриати всіх героїв ,200,OK,Endurance Test 1-704,text,true,,7977,129,627,627,http://localhost:3001/characters,493,0,0
1717007097951,734,Отримати героя за id ,200,OK,Endurance Test 1-752,text,true,,266,130,627,627,http://localhost:3001/character/2,734,0,0
1717007098532,147,Змінити героя,200,OK,Endurance Test 1-728,text,true,,262,231,627,627,http://localhost:3001/character/4,147,0,0
1717007097406,1281,Створити героя ,200,OK,Endurance Test 1-573,text,true,,263,236,627,627,http://localhost:3001/character,1281,0,0
1717007098629,58,Змінити героя,200,OK,Endurance Test 1-559,text,true,,262,231,627,627,http://localhost:3001/character/4,58,0,0
1717007098109,151,Змінити героя,200,OK,Endurance Test 1-711,text,true,,262,231,628,628,http://localhost:3001/character/4,151,0,0
1717007097262,1425,Створити героя ,200,OK,Endurance Test 1-673,text,true,,263,236,627,627,http://localhost:3001/character,1425,0,0
